Datum,Anlage,ZP_ID,Einspeisung + Ausfallarbeit [kWh],Performance [€/MWh]
2023-02-01T00:00:00,"50H_SO_Paitzdorf_01","VZP_ID_107",2008.22,-0.35375
2023-02-01T00:00:00,"50H_SO_Paitzdorf_03","VZP_ID_108",1004.11,-0.35374
2023-02-01T00:00:00,"50H_SO_Paitzdorf_04","VZP_ID_109",1194.76,-0.35371
2023-02-01T00:00:00,"50H_SO_Paitzdorf_02","VZP_ID_110",1004.11,-0.35374
2023-02-01T00:00:00,"50H_SO_Heringen_00011","VZP_ID_111",12958.62,-1.33582
2023-02-01T00:00:00,"50H_SO_Schönstedt_01","VZP_ID_112",4575.48,-1.96445
2023-02-01T00:00:00,"50H_SO_Schönstedt_02","VZP_ID_113",4575.48,-1.96445
2023-02-01T00:00:00,"50H_SO_Schönstedt_03","VZP_ID_114",9632.59,-1.96447
2023-02-01T00:00:00,"50H_SO_Schönstedt_04","VZP_ID_115",4816.29,-1.96446
2023-02-01T00:00:00,"50H_WI_Göttin_1","VZP_ID_12",261597.82,-2.04318
2023-02-01T00:00:00,"50H_WI_Göttin_2","VZP_ID_13",261597.82,-2.04318
2023-02-01T00:00:00,"TEN_SO_Dachau_02","VZP_ID_132",13871.43,-4.58278
2023-02-01T00:00:00,"TEN_SO_Dachau_01","VZP_ID_133",14296.07,-4.58278
2023-02-01T00:00:00,"50H_SO_Ebeleben_01","VZP_ID_136",7037.4,-2.07865
2023-02-01T00:00:00,"50H_SO_Ebeleben_02","VZP_ID_137",14802.8,-2.07865
2023-02-01T00:00:00,"50H_SO_Neukalen_01","VZP_ID_140",3277.04,1.85044
2023-02-01T00:00:00,"50H_SO_Neukalen_02","VZP_ID_141",2179.91,1.85045
2023-02-01T00:00:00,"50H_SO_Neukalen_03","VZP_ID_142",4646.65,1.85041
2023-02-01T00:00:00,"50H_SO_Neukalen_04","VZP_ID_143",9809.6,1.85043
2023-02-01T00:00:00,"50H_SO_Urbach-Menteroda_01","VZP_ID_144",14196.06,-0.52783
2023-02-01T00:00:00,"50H_SO_Urbach-Menteroda_02","VZP_ID_145",14196.06,-0.52783
2023-02-01T00:00:00,"50H_SO_Limlingerode_01","VZP_ID_148",13412.43,-0.32306
2023-02-01T00:00:00,"50H_SO_Limlingerode_02","VZP_ID_149",13412.43,-0.32306
2023-02-01T00:00:00,"50H_SO_Plate_01","VZP_ID_150",2579.86,3.14607
2023-02-01T00:00:00,"50H_SO_Plate_02","VZP_ID_151",3379.82,3.14606
2023-02-01T00:00:00,"50H_SO_Plate_03","VZP_ID_152",5032.47,3.14607
2023-02-01T00:00:00,"50H_SO_Plate_04","VZP_ID_153",4030.49,3.14604
2023-02-01T00:00:00,"50H_SO_Kindelbrück_02","VZP_ID_154",8862.84,-2.09791
2023-02-01T00:00:00,"50H_SO_Kindelbrück_03","VZP_ID_155",8862.84,-2.09791
2023-02-01T00:00:00,"50H_SO_Kindelbrück_04","VZP_ID_156",2231.21,-2.0979
2023-02-01T00:00:00,"50H_SO_Kindelbrück_01","VZP_ID_157",6652.3,-2.09791
2023-02-01T00:00:00,"50H_SO_Hohenstein - Schiedungen_03","VZP_ID_158",4877.32,-0.7685
2023-02-01T00:00:00,"50H_SO_Hohenstein - Schiedungen_01","VZP_ID_159",3498.95,-0.76849
2023-02-01T00:00:00,"50H_SO_Hohenstein - Schiedungen_02","VZP_ID_160",3498.95,-0.76849
2023-02-01T00:00:00,"50H_SO_Hohenstein - Schiedungen_04","VZP_ID_161",7315.98,-0.7685
2023-02-01T00:00:00,"50H_SO_Mackenrode_01","VZP_ID_162",13411.14,-0.37044
2023-02-01T00:00:00,"50H_SO_Mackenrode_02","VZP_ID_163",13480.6,-0.37043
2023-02-01T00:00:00,"50H_SO_Sangerhausen_0001","VZP_ID_166",34369.78,0.12265
2023-02-01T00:00:00,"50H_SO_Sangerhausen_0002","VZP_ID_167",33355.02,0.12265
2023-02-01T00:00:00,"50H_SO_Hohenstein_01_(EB)","VZP_ID_168",3441.14,-1.17817
2023-02-01T00:00:00,"50H_SO_Hohenstein_02_(EB)","VZP_ID_169",5161.7,-1.17816
2023-02-01T00:00:00,"50H_SO_Hohenstein_03_(EB)","VZP_ID_170",3320.39,-1.17817
2023-02-01T00:00:00,"50H_SO_Hohenstein_04_(EB)","VZP_ID_171",3320.39,-1.17817
2023-02-01T00:00:00,"50H_SO_Hohenstein_05_(EB)","VZP_ID_172",5161.7,-1.17816
2023-02-01T00:00:00,"50H_SO_Weinbergen_1_(EB)","VZP_ID_173",11528.2,-0.78639
2023-02-01T00:00:00,"50H_SO_Weinbergen_2_(EB)","VZP_ID_174",3016.73,-0.7864100000000001
